Garis Kemiskinan Menurut Kabupaten Kota (Rupiah/Kapita/Bulan),,
NAMA WILAYAH,TAHUN,GARIS KEMISKINAN (Rupiah/Kapita/Bulan)
ACEH,2016,410956
ACEH,2017,435454
ACEH,2018,464626
ACEH,2019,486935
ACEH,2020,522126
ACEH,2021,541109
ACEH,2022,579227
ACEH,2023,627534
SIMEULUE,2016,326563
SIMEULUE,2017,350622
SIMEULUE,2018,368068
SIMEULUE,2019,404739
SIMEULUE,2020,444754
SIMEULUE,2021,458896
SIMEULUE,2022,493303
SIMEULUE,2023,538693
ACEH SINGKIL,2016,368968
ACEH SINGKIL,2017,406015
ACEH SINGKIL,2018,427804
ACEH SINGKIL,2019,450217
ACEH SINGKIL,2020,473983
ACEH SINGKIL,2021,487249
ACEH SINGKIL,2022,518951
ACEH SINGKIL,2023,568691
ACEH SELATAN,2016,304466
ACEH SELATAN,2017,332177
ACEH SELATAN,2018,351288
ACEH SELATAN,2019,369107
ACEH SELATAN,2020,405786
ACEH SELATAN,2021,418689
ACEH SELATAN,2022,446224
ACEH SELATAN,2023,494565
ACEH TENGGARA,2016,221799
ACEH TENGGARA,2017,250854
ACEH TENGGARA,2018,340196
ACEH TENGGARA,2019,357015
ACEH TENGGARA,2020,392493
ACEH TENGGARA,2021,404725
ACEH TENGGARA,2022,430825
ACEH TENGGARA,2023,471301
ACEH TIMUR,2016,350186
ACEH TIMUR,2017,369911
ACEH TIMUR,2018,398493
ACEH TIMUR,2019,417715
ACEH TIMUR,2020,440455
ACEH TIMUR,2021,460422
ACEH TIMUR,2022,491550
ACEH TIMUR,2023,530934
ACEH TENGAH,2016,397859
ACEH TENGAH,2017,427170
ACEH TENGAH,2018,445250
ACEH TENGAH,2019,468577
ACEH TENGAH,2020,492227
ACEH TENGAH,2021,505933
ACEH TENGAH,2022,533810
ACEH TENGAH,2023,584863
ACEH BARAT,2016,441909
ACEH BARAT,2017,446614
ACEH BARAT,2018,447089
ACEH BARAT,2019,471058
ACEH BARAT,2020,517264
ACEH BARAT,2021,533712
ACEH BARAT,2022,558638
ACEH BARAT,2023,616091
ACEH BESAR,2016,384545
ACEH BESAR,2017,398752
ACEH BESAR,2018,422051
ACEH BESAR,2019,447563
ACEH BESAR,2020,477938
ACEH BESAR,2021,489498
ACEH BESAR,2022,519320
ACEH BESAR,2023,564431
PIDIE,2016,393370
PIDIE,2017,408150
PIDIE,2018,435873
PIDIE,2019,462059
PIDIE,2020,493145
PIDIE,2021,504452
PIDIE,2022,535713
PIDIE,2023,579450
BIREUEN,2016,317562
BIREUEN,2017,335314
BIREUEN,2018,358399
BIREUEN,2019,393198
BIREUEN,2020,410203
BIREUEN,2021,422685
BIREUEN,2022,451163
BIREUEN,2023,486667
ACEH UTARA,2016,301733
