Nama Wilayah,Attribute,Nilai(Rupiah/kapita/bulan)
ACEH,2016,445488
ACEH,2017,479872
ACEH,2018,496752
ACEH,2019,517900
ACEH,2020,543685
ACEH,2021,577270
ACEH,2022,646232
ACEH,2023,657772
SUMATERA UTARA,2016,413835
SUMATERA UTARA,2017,438894
SUMATERA UTARA,2018,465790
SUMATERA UTARA,2019,506538
SUMATERA UTARA,2020,520529
SUMATERA UTARA,2021,556437
SUMATERA UTARA,2022,615227
SUMATERA UTARA,2023,626782
SUMATERA BARAT,2016,454674
SUMATERA BARAT,2017,475365
SUMATERA BARAT,2018,507557
SUMATERA BARAT,2019,551366
SUMATERA BARAT,2020,565531
SUMATERA BARAT,2021,592302
SUMATERA BARAT,2022,668643
SUMATERA BARAT,2023,682515
RIAU,2016,439542
RIAU,2017,474626
RIAU,2018,499402
RIAU,2019,546515
RIAU,2020,572856
RIAU,2021,618552
RIAU,2022,686945
RIAU,2023,698241
JAMBI,2016,448615
JAMBI,2017,465233
JAMBI,2018,492364
JAMBI,2019,524643
JAMBI,2020,552498
JAMBI,2021,598178
JAMBI,2022,684555
JAMBI,2023,699123
SUMATERA SELATAN,2016,400159
SUMATERA SELATAN,2017,417828
SUMATERA SELATAN,2018,441049
SUMATERA SELATAN,2019,461122
SUMATERA SELATAN,2020,470800
SUMATERA SELATAN,2021,491658
SUMATERA SELATAN,2022,548455
SUMATERA SELATAN,2023,556102
BENGKULU,2016,458435
BENGKULU,2017,490475
BENGKULU,2018,530655
BENGKULU,2019,568783
BENGKULU,2020,576921
BENGKULU,2021,624573
BENGKULU,2022,686223
BENGKULU,2023,698802
LAMPUNG,2016,398378
LAMPUNG,2017,427072
LAMPUNG,2018,453053
LAMPUNG,2019,477071
LAMPUNG,2020,504330
LAMPUNG,2021,535133
LAMPUNG,2022,595992
LAMPUNG,2023,610614
KEP. BANGKA BELITUNG,2016,553681
KEP. BANGKA BELITUNG,2017,595031
KEP. BANGKA BELITUNG,2018,656148
KEP. BANGKA BELITUNG,2019,705147
