Giniratio Provinsi,,
NAMA WILAYAH,TAHUN,GINI RATIO (Persen)
ACEH,2016,0.341
ACEH,2017,0.329
ACEH,2018,0.318
ACEH,2019,0.321
ACEH,2020,0.319
ACEH,2021,0.323
ACEH,2022,0.291
ACEH,2023,0.296
SUMATERA UTARA,2016,0.312
SUMATERA UTARA,2017,0.335
SUMATERA UTARA,2018,0.311
SUMATERA UTARA,2019,0.315
SUMATERA UTARA,2020,0.314
SUMATERA UTARA,2021,0.313
SUMATERA UTARA,2022,0.326
SUMATERA UTARA,2023,0.309
SUMATERA BARAT,2016,0.312
SUMATERA BARAT,2017,0.312
SUMATERA BARAT,2018,0.305
SUMATERA BARAT,2019,0.307
SUMATERA BARAT,2020,0.301
SUMATERA BARAT,2021,0.3
SUMATERA BARAT,2022,0.292
SUMATERA BARAT,2023,0.28
RIAU,2016,0.347
RIAU,2017,0.325
RIAU,2018,0.347
RIAU,2019,0.331
RIAU,2020,0.321
RIAU,2021,0.327
RIAU,2022,0.323
RIAU,2023,0.324
JAMBI,2016,0.346
JAMBI,2017,0.334
JAMBI,2018,0.335
JAMBI,2019,0.324
JAMBI,2020,0.316
JAMBI,2021,0.315
JAMBI,2022,0.335
JAMBI,2023,0.343
SUMATERA SELATAN,2016,0.362
SUMATERA SELATAN,2017,0.365
SUMATERA SELATAN,2018,0.341
SUMATERA SELATAN,2019,0.339
SUMATERA SELATAN,2020,0.338
SUMATERA SELATAN,2021,0.34
SUMATERA SELATAN,2022,0.33
SUMATERA SELATAN,2023,0.338
BENGKULU,2016,0.354
BENGKULU,2017,0.349
BENGKULU,2018,0.355
BENGKULU,2019,0.329
BENGKULU,2020,0.323
BENGKULU,2021,0.321
BENGKULU,2022,0.315
BENGKULU,2023,0.333
LAMPUNG,2016,0.358
LAMPUNG,2017,0.333
LAMPUNG,2018,0.326
LAMPUNG,2019,0.331
LAMPUNG,2020,0.32
LAMPUNG,2021,0.314
LAMPUNG,2022,0.313
LAMPUNG,2023,0.324
KEP. BANGKA BELITUNG,2016,0.288
KEP. BANGKA BELITUNG,2017,0.276
KEP. BANGKA BELITUNG,2018,0.272
KEP. BANGKA BELITUNG,2019,0.262
KEP. BANGKA BELITUNG,2020,0.257
KEP. BANGKA BELITUNG,2021,0.247
KEP. BANGKA BELITUNG,2022,0.255
KEP. BANGKA BELITUNG,2023,0.245
KEP. RIAU,2016,0.352
KEP. RIAU,2017,0.359
KEP. RIAU,2018,0.339
KEP. RIAU,2019,0.337
KEP. RIAU,2020,0.334
KEP. RIAU,2021,0.339
KEP. RIAU,2022,0.325
KEP. RIAU,2023,0.34
DKI JAKARTA,2016,0.397
DKI JAKARTA,2017,0.409
DKI JAKARTA,2018,0.39
DKI JAKARTA,2019,0.391
DKI JAKARTA,2020,0.4
DKI JAKARTA,2021,0.411
DKI JAKARTA,2022,0.412
DKI JAKARTA,2023,0.431
JAWA BARAT,2016,0.402
JAWA BARAT,2017,0.393
JAWA BARAT,2018,0.405
JAWA BARAT,2019,0.398
JAWA BARAT,2020,0.398
JAWA BARAT,2021,0.406
JAWA BARAT,2022,0.412
JAWA BARAT,2023,0.425
JAWA TENGAH,2016,0.357
JAWA TENGAH,2017,0.365
JAWA TENGAH,2018,0.357
JAWA TENGAH,2019,0.358
JAWA TENGAH,2020,0.359
JAWA TENGAH,2021,0.368
JAWA TENGAH,2022,0.366
JAWA TENGAH,2023,0.369
DI YOGYAKARTA,2016,0.425
DI YOGYAKARTA,2017,0.44
DI YOGYAKARTA,2018,0.422
DI YOGYAKARTA,2019,0.428
DI YOGYAKARTA,2020,0.437
DI YOGYAKARTA,2021,0.436
DI YOGYAKARTA,2022,0.459
DI YOGYAKARTA,2023,0.449
JAWA TIMUR,2016,0.402
JAWA TIMUR,2017,0.415
JAWA TIMUR,2018,0.371
JAWA TIMUR,2019,0.364
JAWA TIMUR,2020,0.364
JAWA TIMUR,2021,0.364
JAWA TIMUR,2022,0.365
JAWA TIMUR,2023,0.387
BANTEN,2016,0.392
BANTEN,2017,0.379
BANTEN,2018,0.367
BANTEN,2019,0.361
BANTEN,2020,0.365
BANTEN,2021,0.363
BANTEN,2022,0.377
BANTEN,2023,0.368
BALI,2016,0.374
BALI,2017,0.379
BALI,2018,0.364
BALI,2019,0.37
BALI,2020,0.369
BALI,2021,0.375
BALI,2022,0.362
BALI,2023,0.362
NUSA TENGGARA BARAT,2016,0.365
NUSA TENGGARA BARAT,2017,0.378
NUSA TENGGARA BARAT,2018,0.391
NUSA TENGGARA BARAT,2019,0.374
NUSA TENGGARA BARAT,2020,0.386
NUSA TENGGARA BARAT,2021,0.384
NUSA TENGGARA BARAT,2022,0.374
NUSA TENGGARA BARAT,2023,0.375
NUSA TENGGARA TIMUR,2016,0.362
NUSA TENGGARA TIMUR,2017,0.359
