Jumlah Penduduk Miskin Kabupaten Kota,,
NAMA WILAYAH,TAHUN,JUMLAH (RIBU JIWA)
ACEH,2016,848.44
ACEH,2017,872.61
ACEH,2018,839.49
ACEH,2019,819.44
ACEH,2020,814.91
ACEH,2021,834.24
ACEH,2022,806.82
ACEH,2023,806.75
Simeulue,2016,17.93
Simeulue,2017,18.4
Simeulue,2018,18.22
Simeulue,2019,17.67
Simeulue,2020,17.34
Simeulue,2021,18.25
Simeulue,2022,17.86
Simeulue,2023,17.62
Aceh Singkil,2016,25.09
Aceh Singkil,2017,26.27
Aceh Singkil,2018,25.74
Aceh Singkil,2019,25.66
Aceh Singkil,2020,25.43
Aceh Singkil,2021,25.48
Aceh Singkil,2022,24.33
Aceh Singkil,2023,24.62
Aceh Selatan,2016,30.68
Aceh Selatan,2017,32.51
Aceh Selatan,2018,32.82
Aceh Selatan,2019,31.06
Aceh Selatan,2020,30.91
Aceh Selatan,2021,32.25
Aceh Selatan,2022,30.78
Aceh Selatan,2023,30.36
Aceh Tenggara,2016,29.39
Aceh Tenggara,2017,30.84
Aceh Tenggara,2018,30.2
Aceh Tenggara,2019,28.93
Aceh Tenggara,2020,28.98
Aceh Tenggara,2021,29.31
Aceh Tenggara,2022,28.42
Aceh Tenggara,2023,27.96
Aceh Timur,2016,61.63
Aceh Timur,2017,63.67
Aceh Timur,2018,61.64
Aceh Timur,2019,62.79
Aceh Timur,2020,62.34
Aceh Timur,2021,63.69
Aceh Timur,2022,62.16
Aceh Timur,2023,60.63
Aceh Tengah,2016,33.16
Aceh Tengah,2017,34.24
Aceh Tengah,2018,32.31
Aceh Tengah,2019,32.78
Aceh Tengah,2020,32.48
Aceh Tengah,2021,32.72
Aceh Tengah,2022,31.5
Aceh Tengah,2023,31.68
Aceh Barat,2016,40.11
Aceh Barat,2017,40.72
Aceh Barat,2018,39.56
Aceh Barat,2019,39.29
Aceh Barat,2020,39.06
Aceh Barat,2021,39.83
Aceh Barat,2022,38.46
Aceh Barat,2023,38.84
Aceh Besar,2016,62.03
Aceh Besar,2017,62.72
Aceh Besar,2018,60.08
Aceh Besar,2019,58.9
Aceh Besar,2020,59.7
Aceh Besar,2021,60.26
Aceh Besar,2022,58.18
Aceh Besar,2023,58.94
Pidie,2016,90.16
Pidie,2017,92.34
Pidie,2018,89.53
Pidie,2019,86.29
Pidie,2020,86.39
Pidie,2021,88.53
Pidie,2022,85.87
Pidie,2023,86.79
Bireuen,2016,70.44
Bireuen,2017,71.54
Bireuen,2018,65.74
Bireuen,2019,63.6
Bireuen,2020,62.42
Bireuen,2021,63.02
Bireuen,2022,60.29
Bireuen,2023,59.21
Aceh Utara,2016,115.05
Aceh Utara,2017,118.74
Aceh Utara,2018,111.27
Aceh Utara,2019,107.34
Aceh Utara,2020,106.41
Aceh Utara,2021,109.49
Aceh Utara,2022,107.02
Aceh Utara,2023,106.77
Aceh Barat Daya,2016,25.73
Aceh Barat Daya,2017,26.57
Aceh Barat Daya,2018,25.23
Aceh Barat Daya,2019,24.36
Aceh Barat Daya,2020,24.21
Aceh Barat Daya,2021,25.06
Aceh Barat Daya,2022,24
Aceh Barat Daya,2023,24.31
Gayo Lues,2016,19.48
Gayo Lues,2017,19.91
Gayo Lues,2018,19.09
Gayo Lues,2019,18.63
Gayo Lues,2020,18.42
Gayo Lues,2021,18.61
Gayo Lues,2022,18.09
Gayo Lues,2023,18.24
Aceh Tamiang,2016,40.88
Aceh Tamiang,2017,42.01
Aceh Tamiang,2018,41.21
Aceh Tamiang,2019,39.35
Aceh Tamiang,2020,38.93
Aceh Tamiang,2021,40.03
