PERSENTASE PENDUDUK P0 MISKIN KABUPATEN KOTA,,
NAMA WILAYAH,TAHUN,PENDUDUK MISKIN (Persen)
ACEH,2004,28.47
ACEH,2005,28.69
ACEH,2006,28.28
ACEH,2007,26.65
ACEH,2008,23.55
ACEH,2009,21.61
ACEH,2010,19.95
ACEH,2011,19.48
ACEH,2012,18.58
ACEH,2013,17.72
ACEH,2014,16.98
ACEH,2015,17.08
ACEH,2016,16.73
ACEH,2017,16.89
ACEH,2018,15.97
ACEH,2019,15.32
ACEH,2020,14.99
ACEH,2021,15.33
ACEH,2022,14.64
ACEH,2023,14.45
ACEH,2024,14.23
Simeulue,2004,34.26
Simeulue,2005,33.39
Simeulue,2006,33.8
Simeulue,2007,32.26
Simeulue,2008,26.45
Simeulue,2009,24.72
Simeulue,2010,23.61
Simeulue,2011,22.96
Simeulue,2012,21.88
Simeulue,2013,20.57
Simeulue,2014,19.92
Simeulue,2015,20.43
Simeulue,2016,19.93
Simeulue,2017,20.2
Simeulue,2018,19.78
Simeulue,2019,18.99
Simeulue,2020,18.49
Simeulue,2021,18.98
Simeulue,2022,18.37
Simeulue,2023,17.92
Simeulue,2024,17.69
Aceh Singkil,2004,28.85
Aceh Singkil,2005,28.61
Aceh Singkil,2006,28.41
Aceh Singkil,2007,28.54
Aceh Singkil,2008,23.27
Aceh Singkil,2009,21.06
Aceh Singkil,2010,19.38
Aceh Singkil,2011,18.93
Aceh Singkil,2012,17.92
Aceh Singkil,2013,18.73
Aceh Singkil,2014,17.77
Aceh Singkil,2015,21.72
Aceh Singkil,2016,21.6
Aceh Singkil,2017,22.11
Aceh Singkil,2018,21.25
Aceh Singkil,2019,20.78
Aceh Singkil,2020,20.2
Aceh Singkil,2021,20.36
Aceh Singkil,2022,19.18
Aceh Singkil,2023,19.15
Aceh Singkil,2024,19.06
Aceh Selatan,2004,27.56
Aceh Selatan,2005,26.43
Aceh Selatan,2006,24.58
Aceh Selatan,2007,24.72
Aceh Selatan,2008,19.4
Aceh Selatan,2009,17.5
Aceh Selatan,2010,15.93
Aceh Selatan,2011,15.52
Aceh Selatan,2012,14.8
Aceh Selatan,2013,13.44
Aceh Selatan,2014,12.79
Aceh Selatan,2015,13.24
Aceh Selatan,2016,13.48
Aceh Selatan,2017,14.07
Aceh Selatan,2018,14.01
Aceh Selatan,2019,13.09
Aceh Selatan,2020,12.87
Aceh Selatan,2021,13.18
Aceh Selatan,2022,12.43
Aceh Selatan,2023,12.1
Aceh Selatan,2024,12.02
Aceh Tenggara,2004,23.87
Aceh Tenggara,2005,24.13
Aceh Tenggara,2006,23.56
Aceh Tenggara,2007,21.6
Aceh Tenggara,2008,18.51
Aceh Tenggara,2009,16.77
Aceh Tenggara,2010,16.78
Aceh Tenggara,2011,16.39
Aceh Tenggara,2012,15.63
Aceh Tenggara,2013,14.39
Aceh Tenggara,2014,13.75
Aceh Tenggara,2015,14.91
Aceh Tenggara,2016,14.46
Aceh Tenggara,2017,14.86
Aceh Tenggara,2018,14.29
Aceh Tenggara,2019,13.43
Aceh Tenggara,2020,13.21
Aceh Tenggara,2021,13.41
Aceh Tenggara,2022,12.83
Aceh Tenggara,2023,12.45
Aceh Tenggara,2024,11.99
Aceh Timur,2004,29.98
Aceh Timur,2005,29.41
Aceh Timur,2006,29.85
Aceh Timur,2007,28.15
Aceh Timur,2008,24.05
