Jumlah dan Persentase Penduduk Bekerja dan Pengangguran 2016-2023,,,
STATUS,TAHUN,PERSENTASE,JUMLAH (RIBU JIWA)
Bekerja,2016,94.39,118411.97
Bekerja,2017,94.5,121022.42
Bekerja,2018,94.7,126282.19
Bekerja,2019,94.77,128755.27
Bekerja,2020,92.93,128454.18
Bekerja,2021,93.51,131050.52
Bekerja,2022,94.14,135296.71
Bekerja,2023,94.68,139852.4
Pengagguran,2016,5.61,7031.78
Pengagguran,2017,5.5,7040.32
Pengagguran,2018,5.3,7073.39
Pengagguran,2019,5.23,7104.42
Pengagguran,2020,7.07,9767.75
Pengagguran,2021,6.49,9102.05
Pengagguran,2022,5.86,8425.93
Pengagguran,2023,5.32,7855.08
