Persentase Usia 15-24 Tidak Sekolah Bekerja atau Pelatihan,,
NAMA WILAYAH,TAHUN,USIA 15-24 TIDAK SEKOLAH/BEKERJA/PELATIHAN
ACEH,2015,25.65
ACEH,2016,23.35
ACEH,2017,22.41
ACEH,2018,22.77
ACEH,2019,23.61
ACEH,2020,23.6
ACEH,2021,24.38
ACEH,2022,28.99
ACEH,2023,29.02
SUMATERA UTARA,2015,22.01
SUMATERA UTARA,2016,21.87
SUMATERA UTARA,2017,18.88
SUMATERA UTARA,2018,18.46
SUMATERA UTARA,2019,18.71
SUMATERA UTARA,2020,22.87
SUMATERA UTARA,2021,20.29
SUMATERA UTARA,2022,20.71
SUMATERA UTARA,2023,20.08
SUMATERA BARAT,2015,21.58
SUMATERA BARAT,2016,19.7
SUMATERA BARAT,2017,18.27
SUMATERA BARAT,2018,20.5
SUMATERA BARAT,2019,19.93
SUMATERA BARAT,2020,20.46
SUMATERA BARAT,2021,18.78
SUMATERA BARAT,2022,20.23
SUMATERA BARAT,2023,23
RIAU,2015,25.33
RIAU,2016,23.33
RIAU,2017,21.41
RIAU,2018,23.79
RIAU,2019,22.66
RIAU,2020,23.62
RIAU,2021,21.11
RIAU,2022,24.33
RIAU,2023,23.26
JAMBI,2015,24.11
JAMBI,2016,20.11
JAMBI,2017,20.95
JAMBI,2018,20.78
JAMBI,2019,22.81
JAMBI,2020,22.66
JAMBI,2021,21.76
JAMBI,2022,23.86
JAMBI,2023,22.26
SUMATERA SELATAN,2015,25.78
SUMATERA SELATAN,2016,23.43
SUMATERA SELATAN,2017,22.35
SUMATERA SELATAN,2018,23.35
SUMATERA SELATAN,2019,22.78
SUMATERA SELATAN,2020,25.55
SUMATERA SELATAN,2021,25.38
SUMATERA SELATAN,2022,25.32
SUMATERA SELATAN,2023,23.37
BENGKULU,2015,19.7
BENGKULU,2016,19.91
BENGKULU,2017,19.85
BENGKULU,2018,20.77
BENGKULU,2019,20.51
BENGKULU,2020,20.63
BENGKULU,2021,22.75
BENGKULU,2022,22.49
BENGKULU,2023,21.77
LAMPUNG,2015,28.26
LAMPUNG,2016,25.4
LAMPUNG,2017,23.91
LAMPUNG,2018,23.42
LAMPUNG,2019,22.84
LAMPUNG,2020,23.35
LAMPUNG,2021,22.09
LAMPUNG,2022,22.63
LAMPUNG,2023,22.32
KEP. BANGKA BELITUNG,2015,27.51
KEP. BANGKA BELITUNG,2016,24.73
KEP. BANGKA BELITUNG,2017,21.15
KEP. BANGKA BELITUNG,2018,21.56
KEP. BANGKA BELITUNG,2019,22.65
KEP. BANGKA BELITUNG,2020,27.34
KEP. BANGKA BELITUNG,2021,24.38
KEP. BANGKA BELITUNG,2022,21.87
KEP. BANGKA BELITUNG,2023,21.3
KEP. RIAU,2015,14.88
KEP. RIAU,2016,15.12
KEP. RIAU,2017,13.55
KEP. RIAU,2018,19.74
KEP. RIAU,2019,16.55
KEP. RIAU,2020,20.71
KEP. RIAU,2021,16.42
KEP. RIAU,2022,18.74
KEP. RIAU,2023,15.04
DKI JAKARTA,2015,15.91
