Tingkat Partisipasi Angkatan Kerja Menurut Jenis Kelamin 2018-2023,,,
NAMA WILAYAH,JENIS KELAMIN,TAHUN,TINGKAT PARTISIPASI (Persen)
ACEH,Laki - Laki,2018,80.03
ACEH,Laki - Laki,2019,80.79
ACEH,Laki - Laki,2020,81.47
ACEH,Laki - Laki,2021,79.4
ACEH,Laki - Laki,2022,81.06
ACEH,Laki - Laki,2023,80.57
Simeulue,Laki - Laki,2018,79.73
Simeulue,Laki - Laki,2019,81.2
Simeulue,Laki - Laki,2020,83.29
Simeulue,Laki - Laki,2021,82.29
Simeulue,Laki - Laki,2022,84.15
Simeulue,Laki - Laki,2023,81.09
Aceh Singkil,Laki - Laki,2018,80.54
Aceh Singkil,Laki - Laki,2019,80.63
Aceh Singkil,Laki - Laki,2020,82.36
Aceh Singkil,Laki - Laki,2021,82.46
Aceh Singkil,Laki - Laki,2022,83.76
Aceh Singkil,Laki - Laki,2023,77.66
Aceh Selatan,Laki - Laki,2018,83.95
Aceh Selatan,Laki - Laki,2019,82.19
Aceh Selatan,Laki - Laki,2020,79.75
Aceh Selatan,Laki - Laki,2021,77.52
Aceh Selatan,Laki - Laki,2022,84.44
Aceh Selatan,Laki - Laki,2023,81.46
Aceh Tenggara,Laki - Laki,2018,82.5
Aceh Tenggara,Laki - Laki,2019,79.48
Aceh Tenggara,Laki - Laki,2020,81
Aceh Tenggara,Laki - Laki,2021,78.7
Aceh Tenggara,Laki - Laki,2022,82.07
Aceh Tenggara,Laki - Laki,2023,81.28
Aceh Timur,Laki - Laki,2018,83
Aceh Timur,Laki - Laki,2019,82.69
Aceh Timur,Laki - Laki,2020,83.39
Aceh Timur,Laki - Laki,2021,79.35
Aceh Timur,Laki - Laki,2022,81.8
Aceh Timur,Laki - Laki,2023,78.37
Aceh Tengah,Laki - Laki,2018,82.18
Aceh Tengah,Laki - Laki,2019,86.65
Aceh Tengah,Laki - Laki,2020,89.15
Aceh Tengah,Laki - Laki,2021,85.77
Aceh Tengah,Laki - Laki,2022,87.2
Aceh Tengah,Laki - Laki,2023,84.19
Aceh Barat,Laki - Laki,2018,74.14
Aceh Barat,Laki - Laki,2019,80.2
Aceh Barat,Laki - Laki,2020,80.02
Aceh Barat,Laki - Laki,2021,78.64
Aceh Barat,Laki - Laki,2022,80
Aceh Barat,Laki - Laki,2023,79.2
Aceh Besar,Laki - Laki,2018,75.64
Aceh Besar,Laki - Laki,2019,74.71
Aceh Besar,Laki - Laki,2020,77.46
Aceh Besar,Laki - Laki,2021,75.74
Aceh Besar,Laki - Laki,2022,81.44
Aceh Besar,Laki - Laki,2023,79.26
Pidie,Laki - Laki,2018,75.68
Pidie,Laki - Laki,2019,78.45
Pidie,Laki - Laki,2020,78.98
Pidie,Laki - Laki,2021,76.03
Pidie,Laki - Laki,2022,79.31
Pidie,Laki - Laki,2023,78.4
Bireuen,Laki - Laki,2018,82.36
Bireuen,Laki - Laki,2019,82.53
Bireuen,Laki - Laki,2020,82.12
Bireuen,Laki - Laki,2021,81.82
Bireuen,Laki - Laki,2022,79.62
Bireuen,Laki - Laki,2023,82.07
Aceh Utara,Laki - Laki,2018,81.9
Aceh Utara,Laki - Laki,2019,79.57
Aceh Utara,Laki - Laki,2020,77.79
Aceh Utara,Laki - Laki,2021,75.69
Aceh Utara,Laki - Laki,2022,75.7
Aceh Utara,Laki - Laki,2023,75.77
Aceh Barat Daya,Laki - Laki,2018,79.78
Aceh Barat Daya,Laki - Laki,2019,80.05
Aceh Barat Daya,Laki - Laki,2020,81.05
Aceh Barat Daya,Laki - Laki,2021,80.34
Aceh Barat Daya,Laki - Laki,2022,82.74
Aceh Barat Daya,Laki - Laki,2023,84.81
Gayo Lues,Laki - Laki,2018,86.97
Gayo Lues,Laki - Laki,2019,88.4
Gayo Lues,Laki - Laki,2020,93.75
Gayo Lues,Laki - Laki,2021,89.7
Gayo Lues,Laki - Laki,2022,90.03
Gayo Lues,Laki - Laki,2023,87.38
Aceh Tamiang,Laki - Laki,2018,85.95
Aceh Tamiang,Laki - Laki,2019,83.43
Aceh Tamiang,Laki - Laki,2020,82.81
Aceh Tamiang,Laki - Laki,2021,82.55
Aceh Tamiang,Laki - Laki,2022,86.47
Aceh Tamiang,Laki - Laki,2023,88.26
Nagan Raya,Laki - Laki,2018,81.97
Nagan Raya,Laki - Laki,2019,83.95
Nagan Raya,Laki - Laki,2020,87.59
Nagan Raya,Laki - Laki,2021,85.47
Nagan Raya,Laki - Laki,2022,85.65
Nagan Raya,Laki - Laki,2023,85.02
Aceh Jaya,Laki - Laki,2018,86.18
Aceh Jaya,Laki - Laki,2019,86.8
Aceh Jaya,Laki - Laki,2020,89.43
Aceh Jaya,Laki - Laki,2021,87.95
Aceh Jaya,Laki - Laki,2022,87.31
Aceh Jaya,Laki - Laki,2023,84.24
Bener Meriah,Laki - Laki,2018,87.16
Bener Meriah,Laki - Laki,2019,90.32
Bener Meriah,Laki - Laki,2020,93.6
Bener Meriah,Laki - Laki,2021,88.64
Bener Meriah,Laki - Laki,2022,88.48
Bener Meriah,Laki - Laki,2023,87.94
Pidie Jaya,Laki - Laki,2018,80.76
Pidie Jaya,Laki - Laki,2019,76.45
Pidie Jaya,Laki - Laki,2020,79.27
Pidie Jaya,Laki - Laki,2021,74.02
Pidie Jaya,Laki - Laki,2022,76.67
Pidie Jaya,Laki - Laki,2023,79.33
Kota Banda Aceh,Laki - Laki,2018,71.2
Kota Banda Aceh,Laki - Laki,2019,75.68
Kota Banda Aceh,Laki - Laki,2020,75.95
Kota Banda Aceh,Laki - Laki,2021,73.82
Kota Banda Aceh,Laki - Laki,2022,71.55
Kota Banda Aceh,Laki - Laki,2023,76.77
Kota Sabang,Laki - Laki,2018,81.9
Kota Sabang,Laki - Laki,2019,86.92
Kota Sabang,Laki - Laki,2020,86.06
Kota Sabang,Laki - Laki,2021,76.41
Kota Sabang,Laki - Laki,2022,81.51
Kota Sabang,Laki - Laki,2023,80.33
Kota Langsa,Laki - Laki,2018,74.31
Kota Langsa,Laki - Laki,2019,81.57
Kota Langsa,Laki - Laki,2020,80.99
Kota Langsa,Laki - Laki,2021,79.82
Kota Langsa,Laki - Laki,2022,80.04
Kota Langsa,Laki - Laki,2023,77.82
Kota Lhokseumawe,Laki - Laki,2018,76.22
Kota Lhokseumawe,Laki - Laki,2019,78.06
Kota Lhokseumawe,Laki - Laki,2020,79.61
Kota Lhokseumawe,Laki - Laki,2021,80.02
Kota Lhokseumawe,Laki - Laki,2022,80.26
Kota Lhokseumawe,Laki - Laki,2023,77.64
Kota Subulussalam,Laki - Laki,2018,76.41
Kota Subulussalam,Laki - Laki,2019,83.93
Kota Subulussalam,Laki - Laki,2020,83.54
Kota Subulussalam,Laki - Laki,2021,82.25
Kota Subulussalam,Laki - Laki,2022,84.66
Kota Subulussalam,Laki - Laki,2023,84.57
SUMATERA UTARA,Laki - Laki,2018,84.21
SUMATERA UTARA,Laki - Laki,2019,84.19
SUMATERA UTARA,Laki - Laki,2020,81.41
SUMATERA UTARA,Laki - Laki,2021,81.9
SUMATERA UTARA,Laki - Laki,2022,83.89
SUMATERA UTARA,Laki - Laki,2023,84.4
Nias,Laki - Laki,2018,85.29
Nias,Laki - Laki,2019,86.56
Nias,Laki - Laki,2020,85.5
Nias,Laki - Laki,2021,86.36
Nias,Laki - Laki,2022,88.24
Nias,Laki - Laki,2023,85.31
Mandailing Natal,Laki - Laki,2018,83
Mandailing Natal,Laki - Laki,2019,80.14
Mandailing Natal,Laki - Laki,2020,72.58
Mandailing Natal,Laki - Laki,2021,79.91
Mandailing Natal,Laki - Laki,2022,82.36
Mandailing Natal,Laki - Laki,2023,78.6
Tapanuli Selatan,Laki - Laki,2018,86.63
Tapanuli Selatan,Laki - Laki,2019,86.62
Tapanuli Selatan,Laki - Laki,2020,87.15
Tapanuli Selatan,Laki - Laki,2021,86.45
Tapanuli Selatan,Laki - Laki,2022,85.12
Tapanuli Selatan,Laki - Laki,2023,85.15
Tapanuli Tengah,Laki - Laki,2018,86.46
Tapanuli Tengah,Laki - Laki,2019,80.22
Tapanuli Tengah,Laki - Laki,2020,76.28
Tapanuli Tengah,Laki - Laki,2021,80.23
Tapanuli Tengah,Laki - Laki,2022,84.44
Tapanuli Tengah,Laki - Laki,2023,82.37
Tapanuli Utara,Laki - Laki,2018,87.77
Tapanuli Utara,Laki - Laki,2019,85.68
Tapanuli Utara,Laki - Laki,2020,85.35
Tapanuli Utara,Laki - Laki,2021,86.84
Tapanuli Utara,Laki - Laki,2022,82.68
Tapanuli Utara,Laki - Laki,2023,85.63
Toba Samosir / Toba,Laki - Laki,2018,84.84
Toba Samosir / Toba,Laki - Laki,2019,86.16
Toba Samosir / Toba,Laki - Laki,2020,86.9
Toba Samosir / Toba,Laki - Laki,2021,84.88
Toba Samosir / Toba,Laki - Laki,2022,83.64
Toba Samosir / Toba,Laki - Laki,2023,85.32
Labuhan Batu,Laki - Laki,2018,83.91
Labuhan Batu,Laki - Laki,2019,82.67
Labuhan Batu,Laki - Laki,2020,82.11
Labuhan Batu,Laki - Laki,2021,80.21
Labuhan Batu,Laki - Laki,2022,82.84
Labuhan Batu,Laki - Laki,2023,84.65
Asahan,Laki - Laki,2018,84.79
Asahan,Laki - Laki,2019,85.41
Asahan,Laki - Laki,2020,79.25
Asahan,Laki - Laki,2021,83.35
Asahan,Laki - Laki,2022,85.1
Asahan,Laki - Laki,2023,89.03
Simalungun,Laki - Laki,2018,84.47
Simalungun,Laki - Laki,2019,85.42
Simalungun,Laki - Laki,2020,85.28
Simalungun,Laki - Laki,2021,85.25
Simalungun,Laki - Laki,2022,84.4
Simalungun,Laki - Laki,2023,87.71
Dairi,Laki - Laki,2018,91.73
Dairi,Laki - Laki,2019,89.32
Dairi,Laki - Laki,2020,62.87
Dairi,Laki - Laki,2021,87.86
Dairi,Laki - Laki,2022,88.8
Dairi,Laki - Laki,2023,89.82
Karo,Laki - Laki,2018,87.26
Karo,Laki - Laki,2019,88.32
Karo,Laki - Laki,2020,89.28
Karo,Laki - Laki,2021,88.07
Karo,Laki - Laki,2022,88.38
Karo,Laki - Laki,2023,88.27
Deli Serdang,Laki - Laki,2018,85.38
Deli Serdang,Laki - Laki,2019,86.96
Deli Serdang,Laki - Laki,2020,83.08
Deli Serdang,Laki - Laki,2021,83.06
Deli Serdang,Laki - Laki,2022,84.9
Deli Serdang,Laki - Laki,2023,82.08
Langkat,Laki - Laki,2018,85.74
Langkat,Laki - Laki,2019,87.32
Langkat,Laki - Laki,2020,85.02
Langkat,Laki - Laki,2021,84.25
Langkat,Laki - Laki,2022,88.16
Langkat,Laki - Laki,2023,90.15
Nias Selatan,Laki - Laki,2018,83.25
Nias Selatan,Laki - Laki,2019,78.78
Nias Selatan,Laki - Laki,2020,84.81
Nias Selatan,Laki - Laki,2021,78.11
Nias Selatan,Laki - Laki,2022,82.86
Nias Selatan,Laki - Laki,2023,82.33
Humbang Hasundutan,Laki - Laki,2018,92.23
Humbang Hasundutan,Laki - Laki,2019,88.32
Humbang Hasundutan,Laki - Laki,2020,87.7
Humbang Hasundutan,Laki - Laki,2021,84.92
Humbang Hasundutan,Laki - Laki,2022,88.06
Humbang Hasundutan,Laki - Laki,2023,88.47
Pakpak Bharat,Laki - Laki,2018,95.94
Pakpak Bharat,Laki - Laki,2019,93.66
Pakpak Bharat,Laki - Laki,2020,94.55
Pakpak Bharat,Laki - Laki,2021,92.83
Pakpak Bharat,Laki - Laki,2022,89.38
Pakpak Bharat,Laki - Laki,2023,89.62
Samosir,Laki - Laki,2018,86.89
Samosir,Laki - Laki,2019,83.24
Samosir,Laki - Laki,2020,46.51
Samosir,Laki - Laki,2021,84.95
Samosir,Laki - Laki,2022,85.49
Samosir,Laki - Laki,2023,90.9
Serdang Bedagai,Laki - Laki,2018,85.1
Serdang Bedagai,Laki - Laki,2019,88.58
Serdang Bedagai,Laki - Laki,2020,85.52
