Bukan Angkatan Kerja,,
GOLONGAN UMUR,TAHUN,JUMLAH BAK
15-19,2016,15950244
15-19,2017,16978531
15-19,2018,15902737
15-19,2019,15915285
15-19,2020,15443547
15-19,2021,15973004
15-19,2022,15761387
15-19,2023,15792413
20-24,2016,6856059
20-24,2017,6129267
20-24,2018,7226797
20-24,2019,6836732
20-24,2020,7229797
20-24,2021,7293401
20-24,2022,7020154
20-24,2023,6491823
25-29,2016,5409811
25-29,2017,5019597
25-29,2018,5330968
25-29,2019,5254902
25-29,2020,5531516
25-29,2021,5321038
25-29,2022,5361264
25-29,2023,5217089
30-34,2016,5110321
30-34,2017,5073393
30-34,2018,4996284
30-34,2019,4977985
30-34,2020,5075430
30-34,2021,4871183
30-34,2022,4937574
30-34,2023,4933703
35-39,2016,4598286
35-39,2017,4938689
35-39,2018,4405580
35-39,2019,4460363
35-39,2020,4552392
35-39,2021,4317734
35-39,2022,4377727
35-39,2023,4395385
40-44,2016,3918906
40-44,2017,3636472
40-44,2018,3719182
40-44,2019,3775967
40-44,2020,3824329
40-44,2021,3617061
40-44,2022,3727004
40-44,2023,3835125
45-49,2016,3664739
45-49,2017,3421287
45-49,2018,3318354
45-49,2019,3415620
45-49,2020,3502948
45-49,2021,3328555
45-49,2022,3374530
45-49,2023,3464018
50-54,2016,3262764
50-54,2017,3180286
50-54,2018,3251565
50-54,2019,3269893
50-54,2020,3261678
50-54,2021,3352229
50-54,2022,3167574
50-54,2023,3291052
55-59,2016,3051178
55-59,2017,3337549
55-59,2018,3393539
55-59,2019,3448651
55-59,2020,3419625
55-59,2021,3627620
55-59,2022,3492559
55-59,2023,3313411
60+,2016,11830666
60+,2017,12301599
60+,2018,13225976
60+,2019,13969921
60+,2020,13909260
60+,2021,14853899
60+,2022,14477966
60+,2023,14145970
Total,2016,63652974
Total,2017,64016670
Total,2018,64770982
Total,2019,65325319
Total,2020,65750522
Total,2021,66555724
Total,2022,65697739
Total,2023,64879989
