Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) Menurut Golongan Umur
Golongan Umur,Tahun,Persentase Angkatan Kerja Terhadap Penduduk Usia Kerja (TPAK) Menurut Golongan Umur (Persen)
15-19,2018,28.10
15-19,2019,27.65
15-19,2020,28.65
15-19,2021,28.39
15-19,2022,27.74
15-19,2023,27.49
20-24,2018,69.39
20-24,2019,69.67
20-24,2020,68.72
20-24,2021,67.04
20-24,2022,68.00
20-24,2023,71.35
25-29,2018,75.80
25-29,2019,76.36
25-29,2020,75.96
25-29,2021,75.87
25-29,2022,76.64
25-29,2023,77.46
30-34,2018,77.37
30-34,2019,77.62
30-34,2020,77.13
30-34,2021,76.89
30-34,2022,77.65
30-34,2023,77.63
35-39,2018,79.88
35-39,2019,79.88
35-39,2020,79.41
35-39,2021,79.29
35-39,2022,79.87
35-39,2023,80.09
40-44,2018,81.95
40-44,2019,81.50
40-44,2020,81.28
40-44,2021,81.75
40-44,2022,81.48
40-44,2023,81.42
45-49,2018,81.90
45-49,2019,82.05
45-49,2020,81.72
45-49,2021,81.73
45-49,2022,82.10
45-49,2023,82.10
50-54,2018,79.61
50-54,2019,80.01
50-54,2020,80.55
50-54,2021,79.85
50-54,2022,81.06
50-54,2023,80.73
55-59,2018,73.56
55-59,2019,74.60
55-59,2020,75.47
55-59,2021,73.96
55-59,2022,75.97
55-59,2023,76.43
60+,2018,50.68
60+,2019,51.00
60+,2020,52.07
60+,2021,50.96
60+,2022,54.91
60+,2023,55.10
Total,2018,68.30
Total,2019,68.45
Total,2020,68.49
Total,2021,67.94
Total,2022,68.85
Total,2023,69.64
