Kepolisian Daerah,Tahun,Jumlah Tindak Pidana Menurut Kepolisian Daerah
ACEH,2016,9646
ACEH,2017,8885
ACEH,2018,8758
ACEH,2019,7483
ACEH,2020,7745
ACEH,2021,6651
ACEH,2022,10137
SUMATERA UTARA,2016,37102
SUMATERA UTARA,2017,39867
SUMATERA UTARA,2018,32922
SUMATERA UTARA,2019,30831
SUMATERA UTARA,2020,32990
SUMATERA UTARA,2021,36534
SUMATERA UTARA,2022,43555
SUMATERA BARAT,2016,14921
SUMATERA BARAT,2017,13205
SUMATERA BARAT,2018,12953
SUMATERA BARAT,2019,11064
SUMATERA BARAT,2020,7992
SUMATERA BARAT,2021,5666
SUMATERA BARAT,2022,7691
RIAU,2016,8520
RIAU,2017,6869
RIAU,2018,7246
RIAU,2019,6570
RIAU,2020,8194
RIAU,2021,7512
RIAU,2022,12389
JAMBI,2016,9424
JAMBI,2017,9531
JAMBI,2018,6313
JAMBI,2019,6848
JAMBI,2020,4709
JAMBI,2021,3701
JAMBI,2022,5359
SUMATERA SELATAN,2016,20368
SUMATERA SELATAN,2017,15728
SUMATERA SELATAN,2018,13558
SUMATERA SELATAN,2019,12861
SUMATERA SELATAN,2020,12189
SUMATERA SELATAN,2021,13037
SUMATERA SELATAN,2022,11453
BENGKULU,2016,5904
BENGKULU,2017,4867
BENGKULU,2018,3389
BENGKULU,2019,3453
BENGKULU,2020,3333
BENGKULU,2021,3493
BENGKULU,2022,3613
LAMPUNG,2016,10485
LAMPUNG,2017,11089
LAMPUNG,2018,8963
LAMPUNG,2019,8534
LAMPUNG,2020,7594
LAMPUNG,2021,9764
LAMPUNG,2022,11022
KEP. BANGKA BELITUNG,2016,2094
KEP. BANGKA BELITUNG,2017,1931
KEP. BANGKA BELITUNG,2018,2048
KEP. BANGKA BELITUNG,2019,1953
KEP. BANGKA BELITUNG,2020,1931
KEP. BANGKA BELITUNG,2021,1566
KEP. BANGKA BELITUNG,2022,2072
KEP. RIAU,2016,4885
KEP. RIAU,2017,3673
KEP. RIAU,2018,3409
KEP. RIAU,2019,3159
KEP. RIAU,2020,2843
KEP. RIAU,2021,2481
KEP. RIAU,2022,3358
METRO JAYA,2016,43842
METRO JAYA,2017,34767
METRO JAYA,2018,34655
METRO JAYA,2019,31934
METRO JAYA,2020,26585
METRO JAYA,2021,29103
METRO JAYA,2022,32534
JAWA BARAT,2016,29351
JAWA BARAT,2017,25183
JAWA BARAT,2018,16209
JAWA BARAT,2019,13145
JAWA BARAT,2020,11256
JAWA BARAT,2021,7502
JAWA BARAT,2022,29485
JAWA TENGAH,2016,14353
JAWA TENGAH,2017,12033
JAWA TENGAH,2018,9127
JAWA TENGAH,2019,10317
JAWA TENGAH,2020,10712
JAWA TENGAH,2021,8909
JAWA TENGAH,2022,30060
DI YOGYAKARTA,2016,8348
DI YOGYAKARTA,2017,7251
DI YOGYAKARTA,2018,6731
DI YOGYAKARTA,2019,6650
DI YOGYAKARTA,2020,7721
DI YOGYAKARTA,2021,4774
DI YOGYAKARTA,2022,10591
JAWA TIMUR,2016,28902
JAWA TIMUR,2017,34598
JAWA TIMUR,2018,26295
JAWA TIMUR,2019,26985
JAWA TIMUR,2020,17642
JAWA TIMUR,2021,19257
JAWA TIMUR,2022,51905
BANTEN,2016,4570
BANTEN,2017,3692
BANTEN,2018,3623
BANTEN,2019,3287
BANTEN,2020,4250
BANTEN,2021,3434
BANTEN,2022,5038
BALI,2016,4764
BALI,2017,3589
BALI,2018,3212
BALI,2019,3047
BALI,2020,2597
BALI,2021,2404
BALI,2022,6304
NUSA TENGGARA BARAT,2016,7779
NUSA TENGGARA BARAT,2017,8132
NUSA TENGGARA BARAT,2018,6451
