SEKTOR,TAHUN,RATA UPAH (RUPIAH / BULAN)
"PERTANIAN, KEHUTANAN, DAN PERIKANAN   ",2016,1542341
"PERTANIAN, KEHUTANAN, DAN PERIKANAN   ",2017,1761803
"PERTANIAN, KEHUTANAN, DAN PERIKANAN   ",2018,1824738
"PERTANIAN, KEHUTANAN, DAN PERIKANAN   ",2019,2041145
"PERTANIAN, KEHUTANAN, DAN PERIKANAN   ",2020,1989195
"PERTANIAN, KEHUTANAN, DAN PERIKANAN   ",2021,1951746.5
"PERTANIAN, KEHUTANAN, DAN PERIKANAN   ",2022,2081590
"PERTANIAN, KEHUTANAN, DAN PERIKANAN   ",2023,2218558
PERTAMBANGAN DAN PENGGALIAN,2016,4222707.5
PERTAMBANGAN DAN PENGGALIAN,2017,4358001.5
PERTAMBANGAN DAN PENGGALIAN,2018,4381898.5
PERTAMBANGAN DAN PENGGALIAN,2019,4902250.5
PERTAMBANGAN DAN PENGGALIAN,2020,4788830.5
PERTAMBANGAN DAN PENGGALIAN,2021,4312354.5
PERTAMBANGAN DAN PENGGALIAN,2022,4571894.5
PERTAMBANGAN DAN PENGGALIAN,2023,4693515
INDUSTRI PENGOLAHAN,2016,2180973
INDUSTRI PENGOLAHAN,2017,2547268
INDUSTRI PENGOLAHAN,2018,2591424.5
INDUSTRI PENGOLAHAN,2019,2748055
INDUSTRI PENGOLAHAN,2020,2726340
INDUSTRI PENGOLAHAN,2021,2767729.5
INDUSTRI PENGOLAHAN,2022,2918069.5
INDUSTRI PENGOLAHAN,2023,3083970.5
"PENGADAAN LISTRIK, GAS, UAP/AIR PANAS DAN UDARA DINGIN",2016,3136877.5
"PENGADAAN LISTRIK, GAS, UAP/AIR PANAS DAN UDARA DINGIN",2017,4023235
"PENGADAAN LISTRIK, GAS, UAP/AIR PANAS DAN UDARA DINGIN",2018,3495366
"PENGADAAN LISTRIK, GAS, UAP/AIR PANAS DAN UDARA DINGIN",2019,3902033.5
"PENGADAAN LISTRIK, GAS, UAP/AIR PANAS DAN UDARA DINGIN",2020,3861681.5
"PENGADAAN LISTRIK, GAS, UAP/AIR PANAS DAN UDARA DINGIN",2021,3913232.5
"PENGADAAN LISTRIK, GAS, UAP/AIR PANAS DAN UDARA DINGIN",2022,4549861.5
"PENGADAAN LISTRIK, GAS, UAP/AIR PANAS DAN UDARA DINGIN",2023,4309406.5
"TREATMENT AIR, TREATMENT AIR LIMBAH, TREATMENT DAN PEMULIHAN MATERIAL SAMPAH, DAN AKTIVITAS ",2016,2336471.5
"TREATMENT AIR, TREATMENT AIR LIMBAH, TREATMENT DAN PEMULIHAN MATERIAL SAMPAH, DAN AKTIVITAS ",2017,3180251.5
"TREATMENT AIR, TREATMENT AIR LIMBAH, TREATMENT DAN PEMULIHAN MATERIAL SAMPAH, DAN AKTIVITAS ",2018,2754096
"TREATMENT AIR, TREATMENT AIR LIMBAH, TREATMENT DAN PEMULIHAN MATERIAL SAMPAH, DAN AKTIVITAS ",2019,2498009
"TREATMENT AIR, TREATMENT AIR LIMBAH, TREATMENT DAN PEMULIHAN MATERIAL SAMPAH, DAN AKTIVITAS ",2020,2574084
"TREATMENT AIR, TREATMENT AIR LIMBAH, TREATMENT DAN PEMULIHAN MATERIAL SAMPAH, DAN AKTIVITAS ",2021,2677454.5
