38 Provinsi,Gini Ratio Menurut Provinsi dan Daerah,,,,,,,,,,,,,,,,,,,,,,,
,Perkotaan,,,,,,,,Perdesaan,,,,,,,,Perkotaan+Perdesaan,,,,,,,
,2016,2017,2018,2019,2020,2021,2022,2023,2016,2017,2018,2019,2020,2021,2022,2023,2016,2017,2018,2019,2020,2021,2022,2023
Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),
ACEH,0.343,0.347,0.344,0.344,0.36,0.362,0.348,0.318,0.288,0.293,0.285,0.276,0.281,0.275,0.272,0.265,0.333,0.329,0.325,0.319,0.323,0.324,0.311,0.296
SUMATERA UTARA,0.334,0.342,0.335,0.338,0.338,0.344,0.343,0.34,0.282,0.256,0.272,0.264,0.255,0.25,0.249,0.242,0.319,0.315,0.318,0.317,0.316,0.314,0.312,0.309
SUMATERA BARAT,0.353,0.336,0.338,0.314,0.323,0.329,0.329,0.305,0.288,0.276,0.28,0.267,0.257,0.254,0.247,0.232,0.331,0.318,0.321,0.306,0.305,0.306,0.3,0.28
RIAU,0.369,0.353,0.356,0.37,0.363,0.367,0.363,0.369,0.309,0.289,0.288,0.284,0.273,0.279,0.282,0.274,0.347,0.325,0.327,0.334,0.329,0.326,0.326,0.324
JAMBI,0.377,0.384,0.354,0.351,0.351,0.354,0.351,0.365,0.313,0.284,0.308,0.287,0.287,0.288,0.292,0.32,0.349,0.335,0.334,0.321,0.32,0.321,0.32,0.343
SUMATERA SELATAN,0.373,0.384,0.381,0.348,0.358,0.36,0.358,0.36,0.293,0.317,0.316,0.302,0.308,0.315,0.311,0.305,0.348,0.361,0.358,0.331,0.339,0.341,0.339,0.338
BENGKULU,0.385,0.39,0.394,0.376,0.378,0.384,0.37,0.386,0.302,0.305,0.318,0.286,0.275,0.264,0.262,0.283,0.357,0.351,0.362,0.34,0.334,0.326,0.315,0.333
LAMPUNG,0.393,0.364,0.367,0.346,0.345,0.346,0.341,0.359,0.33,0.297,0.317,0.299,0.298,0.288,0.284,0.287,0.364,0.334,0.346,0.329,0.327,0.323,0.314,0.324
KEP. BANGKA BELITUNG,0.289,0.303,0.296,0.278,0.276,0.265,0.248,0.265,0.24,0.219,0.238,0.23,0.22,0.221,0.206,0.202,0.275,0.282,0.281,0.269,0.262,0.256,0.236,0.245
