Nama Wilayah,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ACEH,28.47,28.69,28.28,26.65,23.55,21.61,19.95,19.48,18.58,17.72,16.98,17.08,16.73,16.89,15.97,15.32,14.99,15.33,14.64,14.45,14.23
Simeulue,34.26,33.39,33.8,32.26,26.45,24.72,23.61,22.96,21.88,20.57,19.92,20.43,19.93,20.2,19.78,18.99,18.49,18.98,18.37,17.92,17.69
Aceh Singkil,28.85,28.61,28.41,28.54,23.27,21.06,19.38,18.93,17.92,18.73,17.77,21.72,21.6,22.11,21.25,20.78,20.2,20.36,19.18,19.15,19.06
Aceh Selatan,27.56,26.43,24.58,24.72,19.4,17.5,15.93,15.52,14.8,13.44,12.79,13.24,13.48,14.07,14.01,13.09,12.87,13.18,12.43,12.1,12.02
Aceh Tenggara,23.87,24.13,23.56,21.6,18.51,16.77,16.78,16.39,15.63,14.39,13.75,14.91,14.46,14.86,14.29,13.43,13.21,13.41,12.83,12.45,11.99
Aceh Timur,29.98,29.41,29.85,28.15,24.05,21.33,18.42,18.01,17.19,16.59,15.88,15.85,15.06,15.25,14.49,14.47,14.08,14.45,13.91,13.39,13.26
Aceh Tengah,27.93,27.11,26.68,24.41,23.36,21.43,20.09,19.58,18.77,17.76,16.99,17.51,16.64,16.84,15.58,15.5,15.08,15.26,14.5,14.38,14.27
Aceh Barat,35.65,34.78,34.54,32.63,29.96,27.09,24.42,23.81,22.76,23.7,22.97,21.46,20.38,20.28,19.31,18.79,18.34,18.81,17.93,17.86,17.6
Aceh Besar,29.89,28.81,28.66,26.69,21.52,20.09,18.8,18.36,17.5,16.88,16.13,15.93,15.55,15.41,14.47,13.92,13.84,14.05,13.38,13.38,13.21
Pidie,35.24,35.27,35.32,33.31,28.11,25.87,23.8,23.19,22.12,21.12,20.29,21.18,21.25,21.43,20.47,19.46,19.23,19.59,18.79,18.78,18.59
Bireuen,29.25,29.09,29.05,27.18,23.27,21.65,19.5,19.06,18.21,17.65,16.94,16.94,15.95,15.87,14.31,13.56,13.06,13.25,12.51,12.12,12.1
Aceh Utara,34.21,35.14,34.98,33.16,27.56,25.29,23.43,22.89,21.89,20.34,19.58,19.2,19.46,19.78,18.27,17.39,17.02,17.43,16.86,16.64,16.11
Aceh Barat Daya,27.98,27.71,28.3,28.63,23.42,21.33,19.93,19.49,18.51,18.92,17.99,18.25,18.03,18.31,17.1,16.26,15.93,16.34,15.44,15.43,15.32
Gayo Lues,32.38,33.28,33.51,32.31,26.57,24.22,23.9,23.38,22.3,22.33,21.43,21.95,21.86,21.97,20.7,19.87,19.32,19.64,18.87,18.82,18.3
Aceh Tamiang,25.23,24,23.89,22.19,22.29,19.96,17.98,17.49,16.7,15.13,14.58,14.57,14.51,14.69,14.21,13.38,13.08,13.34,12.61,12.51,12.17
Nagan Raya,35.54,35.44,35.25,33.61,28.11,26.22,24.06,23.38,22.27,21.75,20.85,20.13,19.25,19.34,18.97,17.97,17.7,18.23,17.38,17.25,16.94
Aceh Jaya,31.6,30.65,30.42,29.28,23.86,21.86,20.17,19.8,18.3,17.53,16.52,15.93,15.01,14.85,14.16,13.36,12.87,13.23,12.51,12.42,12.25
Bener Meriah,-,28.18,27.98,26.55,29.21,26.58,26.22,25.5,24.5,23.47,22.45,21.55,21.43,21.14,20.13,19.3,18.89,19.16,18.39,18.31,18.18
Pidie Jaya,-,-,-,35,30.26,27.97,26.07,25.43,24.35,22.7,21.78,21.4,21.18,21.82,20.17,19.31,19.19,19.55,18.45,18.4,18.28
Kota Banda Aceh,8.89,8.2,8.25,6.61,9.56,8.64,9.19,9.08,8.65,8.03,7.78,7.72,7.41,7.44,7.25,7.22,6.9,7.61,7.13,7.04,6.95
Kota Sabang,31.46,29.17,28.56,27.13,25.72,23.89,21.68,21.31,20.51,18.31,17.02,17.69,17.33,17.66,16.31,15.6,14.94,15.32,14.66,14.59,14.58
Kota Langsa,15.29,14.68,13.95,14.25,17.97,16.2,15.01,14.66,13.93,12.62,12.08,11.62,11.09,11.24,10.79,10.57,10.44,10.96,10.62,10.53,10.33
Kota Lhokseumawe,14.98,15.57,14.25,12.75,15.87,15.08,14.07,13.73,13.06,12.47,11.93,12.16,11.98,12.32,11.81,11.18,10.8,11.16,10.84,10.73,10.44
Kota Subulussalam,-,-,-,30.16,28.99,26.8,24.33,23.85,22.63,20.69,19.72,20.39,19.57,19.71,18.51,17.95,17.6,17.65,16.94,16.41,16.38
SUMATERA UTARA,14.93,14.68,15.01,13.9,12.47,11.27,11.36,10.83,10.41,10.39,9.85,10.53,10.35,10.22,9.22,8.83,8.75,9.01,8.42,8.15,7.99
Nias,31.58,30.8,31.53,31.75,25.19,22.57,19.97,19.11,18.67,17.28,16.39,18.05,17.64,18.11,16.37,15.94,16.6,16.82,16,15.1,14.89
