Provinsi Se-Indonesia,,,
,Jumlah Penduduk Menurut Provinsi di Indonesia (Ribu Jiwa),,
,2015,2016,2017
Aceh,5002,5096,5190
Sumatera Utara,13938,14103,14262
Sumatera Barat,5196,5260,5322
Riau,6344,6501,6658
Jambi,3402,3459,3515
Sumatera Selatan,8052,8161,8267
Bengkulu,1875,1905,1934
Lampung,8117,8205,8290
Kepulauan Bangka Belitung,1373,1402,1431
Kepulauan Riau,1973,2028,2083
DKI Jakarta,10178,10278,10374
Jawa Barat,46710,47379,48038
Jawa Tengah,33774,34019,34258
DI. Yogyakarta,3679,3721,3762
Jawa Timur,38848,39075,39293
Banten,11955,12203,12448
Bali,4153,4200,4247
Nusa Tenggara Barat,4836,4896,4956
Nusa Tenggara Timur,5120,5204,5287
Kalimantan Barat,4790,4862,4933
Kalimantan Tengah,2495,2550,2605
Kalimantan Selatan,3990,4056,4120
Kalimantan Timur,4069,4168,4267
Kalimantan Utara,-,-,-
Sulawesi Utara,2412,2437,2461
Sulawesi Tengah,2877,2922,2966
Sulawesi Selatan,8520,8606,8690
Sulawesi Tenggara,2500,2551,2602
Gorontalo,1133,1151,1168
Sulawesi Barat,1282,1306,1331
Maluku,1686,1716,1745
Maluku Utara,1162,1186,1209
Papua Barat,872,893,915
Papua,3149,3207,3265
Indonesia,255462,258705,261891
