Provinsi di Indonesia,,,
,Jumlah Penduduk Menurut Provinsi di Indonesia (Ribu Jiwa),,
,2018,2019,2020
Aceh,5243.4,5316.3,5554.8
Sumatera Utara,14476,14639.4,15588.5
Sumatera Barat,5411.8,5479.5,5836.2
Riau,6717.6,6835.1,6728.1
Kep. Riau,2174.8,2241.6,2183.3
Jambi,3527.1,3566.2,3724.3
Sumatera Selatan,8391.5,8497.2,8837.3
Kep. Bangka Belitung,1432.1,1451.1,1531.5
Bengkulu,1948.6,1971.8,2112.2
Lampung,8377.7,8457.6,9419.6
DKI Jakarta,10428,10504.1,10684.9
Jawa Barat,48475.5,49023.2,50345.2
Banten,12530.8,12714.3,12431.4
Jawa Tengah,34358.5,34552.5,37892.3
DI Yogyakarta,3818.3,3868.6,3759.5
Jawa Timur,39521.9,39744.8,41814.5
Kalimantan Barat,4985.1,5045.7,5695.5
Kalimantan Tengah,2612.6,2649.8,2809.7
Kalimantan Selatan,4162.4,4216.3,4273.4
Kalimantan Timur,3573.8,3619.7,4045.9
Kalimantan Utara,682.8,695.6,739.8
Sulawesi Utara,2474.4,2494.1,2701.8
Gorontalo,1166.1,1176.4,1227.8
Sulawesi Tengah,3001.9,3042.1,3121.8
Sulawesi Selatan,8748.1,8819.5,9463.4
Sulawesi Barat,1340.1,1359.2,1503.2
Sulawesi Tenggara,2623.6,2663.7,2793.1
Bali,4309.2,4362,4433.3
Nusa Tenggara Barat,5077.7,5152.4,5646
Nusa Tenggara Timur,5360.3,5437.2,5656
Maluku,1749.5,1768.5,1945.6
Maluku Utara,1218.8,1235.7,1355.6
Papua Barat,941.4,963.6,1205.8
Papua,3300.2,3347.1,4542.6
Indonesia,264161.6,266911.9,281603.8
