Golongan Umur,Angkatan Kerja (AK) Menurut Golongan Umur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bekerja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pengangguran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jumlah AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,% Bekerja / AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,1986,,,1987,,,1988,,,1989,,,1990,,,1991,,,1992,,,1993,,,1994,,,1995,,,1996,,,1997,,,1998,,,1999,,
Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,
15-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5734328,5848649,-,5794988,6059032,-,6033045,5526039,-,5278950,5564282,-,5354350,6113593,-,5356564,5846289,-,5208806,5174517,-,5127144,4174431,-,4873611,4472447,-,5527816,5142340,-,5153125,4475885,-,4993971,4577291,-,4711703,5049940,-,5208525,4676824,-,4851681,4527504,-,4668215,4704951,-,4793947,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1798582,2305670,-,2039623,2302632,-,1825647,2145468,-,2254141,2637817,-,1868093,2185923,-,1574780,2331003,-,1492527,2250148,-,1506499,1885820,-,1255210,1747151,-,1185867,1954126,-,1129455,1649825,-,1045299,1617950,-,1292778,1624465,-,1212400,1469332,-,1133739,1856292,-,1123495,1633463,-,1034119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7532910,8154319,-,7834611,8361664,-,7858692,7671507,-,7533091,8202099,-,7222443,8299516,-,6931344,8177292,-,6701333,7424665,-,6633643,6060251,-,6128821,6219598,-,6713683,7096466,-,6282580,6125710,-,6039270,6195241,-,6004481,6674405,-,6420925,6146156,-,5985420,6383796,-,5791710,6338414,-,5828066,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.12,71.72,-,73.97,72.46,-,76.77,72.03,-,70.08,67.84,-,74.13,73.66,-,77.28,71.49,-,77.73,69.69,-,77.29,68.88,-,79.52,71.91,-,82.34,72.46,-,82.02,73.07,-,82.69,73.88,-,78.47,75.66,-,81.12,76.09,-,81.06,70.92,-,80.6,74.23,-,82.26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11332576,10704232,-,10545219,10843451,-,11025107,10307346,-,11799164,10848805,-,12580841,10948855,-,12608448,10546192,-,12788210,10485734,-,12573327,11573002,-,12295397,12407611,-,12995121,10997685,-,13254886,12250760,-,13210542,12736484,-,13243144,11975718,-,12165777,12055519,-,12805462,12384895,-,13195089,13175089,-,13629983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2763203,2725347,-,2686530,2519137,-,2420699,2177596,-,2950010,2213178,-,2367069,1978561,-,2233889,2180839,-,2207102,2217984,-,2454384,2710132,-,2475889,2327760,-,2157591,2192794,-,2494756,2471559,-,2278376,2362143,-,2206310,2756019,-,2609339,2597807,-,2504512,2540121,-,2397136,2670475,-,2584181,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14095779,13429579,-,13231749,13362588,-,13445806,12484942,-,14749174,13061983,-,14947910,12927416,-,14842337,12727031,-,14995312,12703718,-,15027711,14283134,-,14771286,14735371,-,15152712,13190479,-,15749642,14722319,-,15488918,15098627,-,15449454,14731737,-,14775116,14653326,-,15309974,14925016,-,15592225,15845564,-,16214164,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.4,79.71,-,79.7,81.15,-,82,82.56,-,80,83.06,-,84.16,84.69,-,84.95,82.86,-,85.28,82.54,-,83.67,81.03,-,83.24,84.2,-,85.76,83.38,-,84.16,83.21,-,85.29,84.36,-,85.72,81.29,-,82.34,82.27,-,83.64,82.98,-,84.63,83.15,-,84.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13351202,13612602,-,13369972,13835799,-,14044773,14401201,-,14870138,13892058,-,14908601,13671548,-,14832895,13183956,-,14878870,12949359,-,14747924,14029208,-,14557279,14420691,-,14812064,13005071,-,15282917,15119890,-,15403622,15252156,-,15614144,14578808,-,15019804,14864041,-,15833416,15199876,-,16000069,15996632,-,16296438,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1767642,1759409,-,1813555,1537665,-,1579424,1431390,-,1270764,1232346,-,1249691,1078139,-,1243429,1058668,-,1025031,1015728,-,1372110,1244410,-,1241027,1099494,-,1121551,942386,-,1223974,1133511,-,1268358,1181384,-,1177974,1577866,-,1534639,1516745,-,1343508,1166262,-,1213435,1292355,-,1286712,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15118844,15372011,-,15183527,15373464,-,15624197,15832591,-,16140902,15124404,-,16158292,14749687,-,16076324,14242624,-,15903901,13965087,-,16120034,15273618,-,15798306,15520185,-,15933615,13947457,-,16506891,16253401,-,16671980,16433540,-,16792118,16156674,-,16554443,16380786,-,17176924,16366138,-,17213504,17288987,-,17583150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,88.31,88.55,-,88.06,90,-,89.89,90.96,-,92.13,91.85,-,92.27,92.69,-,92.27,92.57,-,93.55,92.73,-,91.49,91.85,-,92.14,92.92,-,92.96,93.24,-,92.59,93.03,-,92.39,92.81,-,92.98,90.23,-,90.73,90.74,-,92.18,92.87,-,92.95,92.52,-,92.68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13566222,13632318,-,13969532,14305550,-,14696329,15122567,-,15319730,14830175,-,15287275,15872441,-,15310667,16065460,-,15424835,16424492,-,15232177,14687715,-,15120941,14830082,-,15230047,15048964,-,15949622,15581139,-,16101630,15701113,-,16084442,15281561,-,15533371,15569058,-,16143984,15848724,-,16405596,16555574,-,16539766,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1045008,1020500,-,1017854,825672,-,919563,787077,-,648838,703038,-,726726,697540,-,689715,606274,-,662575,614620,-,655740,576814,-,517476,559107,-,600742,530219,-,671914,555859,-,607437,572878,-,539005,931925,-,806661,893483,-,754722,608412,-,761951,609968,-,624915,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14611230,14652818,-,14987386,15131222,-,15615892,15909644,-,15968568,15533213,-,16014001,16569981,-,16000382,16671734,-,16087410,17039112,-,15887917,15264529,-,15638417,15389189,-,15830789,15579183,-,16621536,16136998,-,16709067,16273991,-,16623447,16213486,-,16340032,16462541,-,16898706,16457136,-,17167547,17165542,-,17164681,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.85,93.04,-,93.21,94.54,-,94.11,95.05,-,95.94,95.47,-,95.46,95.79,-,95.69,96.36,-,95.88,96.39,-,95.87,96.22,-,96.69,96.37,-,96.21,96.6,-,95.96,96.56,-,96.36,96.48,-,96.76,94.25,-,95.06,94.57,-,95.53,96.3,-,95.56,96.45,-,96.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35-39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13146274,13355630,-,13603307,13384767,-,13747143,14068025,-,14805537,14063872,-,14892981,14218495,-,15060573,13771859,-,15257210,14155638,-,15544090,14815279,-,15452579,15021162,-,15577244,17202398,-,16127916,15773575,-,16289314,15874420,-,16284401,15579183,-,15898936,15956237,-,16131327,16148940,-,16493906,16602867,-,16930409,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,792231,698672,-,608893,557130,-,604728,493461,-,368168,463341,-,545162,386221,-,471329,346665,-,467781,326225,-,386609,359826,-,400794,339303,-,412185,431185,-,398486,400804,-,431590,365259,-,439372,703300,-,618486,667887,-,649921,439940,-,670266,433484,-,432530,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13938505,14054302,-,14212200,13941897,-,14351871,14561486,-,15173705,14527213,-,15438143,14604716,-,15531902,14118524,-,15724991,14481863,-,15930699,15175105,-,15853373,15360465,-,15989429,17633583,-,16526402,16174379,-,16720904,16239679,-,16723773,16282483,-,16517422,16624124,-,16781248,16588880,-,17164172,17036351,-,17362939,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94.32,95.03,-,95.72,96,-,95.79,96.61,-,97.57,96.81,-,96.47,97.36,-,96.97,97.54,-,97.03,97.75,-,97.57,97.63,-,97.47,97.79,-,97.42,97.55,-,97.59,97.52,-,97.42,97.75,-,97.37,95.68,-,96.26,95.98,-,96.13,97.35,-,96.09,97.46,-,97.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11998948,12152300,-,12289551,12655528,-,12913530,13433234,-,13664067,13279151,-,13796975,14252621,-,14103894,14789875,-,14350626,15010358,-,14818707,14295332,-,14748920,14433676,-,15065145,14276271,-,15555317,15172482,-,15555079,15253763,-,15651372,15134905,-,15519044,15629288,-,15938083,15900025,-,15987583,16292858,-,16379755,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,626764,360375,-,560967,432691,-,461968,371338,-,297844,403785,-,425529,341218,-,353612,307509,-,361287,260597,-,278279,228339,-,262133,302422,-,376225,270261,-,318750,277747,-,330424,321300,-,320744,618192,-,570598,552795,-,594249,395168,-,680071,301667,-,343439,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12625712,12512675,-,12850518,13088219,-,13375498,13804572,-,13961911,13682936,-,14222504,14593839,-,14457506,15097384,-,14711913,15270955,-,15096986,14523671,-,15011053,14736098,-,15441370,14546532,-,15874067,15450229,-,15885503,15575063,-,15972116,15753097,-,16089642,16182083,-,16532332,16295193,-,16667654,16594525,-,16723194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.04,97.12,-,95.63,96.69,-,96.55,97.31,-,97.87,97.05,-,97.01,97.66,-,97.55,97.96,-,97.54,98.29,-,98.16,98.43,-,98.25,97.95,-,97.56,98.14,-,97.99,98.2,-,97.92,97.94,-,97.99,96.08,-,96.45,96.58,-,96.41,97.57,-,95.92,98.18,-,97.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10484959,10671627,-,11143593,10652153,-,10999810,11145675,-,11693945,11146010,-,11860851,11579305,-,12245198,11983379,-,12527383,12285477,-,13040254,12708584,-,13374073,12877326,-,13480126,13660154,-,14115882,13998118,-,14429373,14242586,-,14652722,14183849,-,14450442,14628212,-,14643441,14939895,-,14997739,15368956,-,15548307,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,366908,196379,-,243784,333067,-,354849,273585,-,255877,261810,-,293078,259884,-,257515,229009,-,351230,200366,-,352618,201365,-,224408,176741,-,384380,209213,-,256955,224142,-,322647,263223,-,279753,520964,-,488428,498954,-,604900,355844,-,612643,281342,-,312391,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10851867,10868006,-,11387377,10985220,-,11354659,11419260,-,11949822,11407820,-,12153929,11839189,-,12502713,12212388,-,12878613,12485843,-,13392872,12909949,-,13598481,13054067,-,13864506,13869367,-,14372837,14222260,-,14752020,14505809,-,14932475,14704813,-,14938870,15127166,-,15248341,15295739,-,15610382,15650298,-,15860698,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.62,98.19,-,97.86,96.97,-,96.87,97.6,-,97.86,97.7,-,97.59,97.8,-,97.94,98.12,-,97.27,98.4,-,97.37,98.44,-,98.35,98.65,-,97.23,98.49,-,98.21,98.42,-,97.81,98.19,-,98.13,96.46,-,96.73,96.7,-,96.03,97.67,-,96.08,98.2,-,98.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
