Golongan Umur,Bukan Angkatan Kerja (BAK) Menurut Golongan Umur (Orang),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sekolah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mengurus Rumah Tangga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lainnya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jumlah BAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2000,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,
Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,Februari,Agustus,Tahunan,
15-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10967214,11368570,-,11794370,11888864,-,12086544,11872911,-,11676104,11773089,-,12495223,12385513,-,12962185,12574770,-,13437710,14392649,-,13850725,13668780,-,13605939,13341239,-,13102011,14119947,-,13534130,13042139,-,13759098,13213202,-,14195614,12578530,-,12528764,12118583,-,13775058,12974434,-,14360756,13351648,-,14330701,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1735085,1882990,-,1873495,1948921,-,2500825,1751816,-,1613862,1940976,-,1479918,1921981,-,1434163,2148126,-,1333618,1682457,-,1037747,1399720,-,1686230,1881445,-,1743213,2099255,-,1741843,2083174,-,1717071,1828835,-,1404194,1786462,-,1813265,2105862,-,1434285,1707497,-,1284327,1447699,-,1118209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,959052,1495254,-,1249534,1467460,-,1466079,1476863,-,948234,1488651,-,689038,1519408,-,689783,1587928,-,657183,1133835,-,550239,978972,-,718667,727560,-,636522,759329,-,578339,777424,-,619560,873248,-,533283,1078555,-,1377170,1748559,-,981780,1079456,-,713425,993066,-,845911,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13661351,14746814,-,14917399,15305245,-,16053448,15101590,-,14238200,15202716,-,14664179,15826902,-,15086131,24488116,-,15428511,17208941,-,15438711,16047472,-,16010836,15950244,-,15481746,16978531,-,15854312,15902737,-,16095729,15915285,-,16133091,15443547,-,15719199,15973004,-,16191123,15761387,-,16358508,15792413,-,16294821,-,-
20-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2031988,1691407,-,1715256,1738258,-,1890910,1896996,-,1880313,1950542,-,2105128,1981794,-,2183475,1879432,-,2276418,2191415,-,2382896,2810127,-,2413958,2415774,-,1975814,2184114,-,1881962,2869754,-,2148398,2535902,-,2326549,2582891,-,2568986,2353351,-,2397146,2461244,-,2301080,2277075,-,2306243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4025901,3647697,-,3733253,3694795,-,3685462,3247921,-,3917726,3737515,-,3741373,3415921,-,3816129,3398332,-,3582891,3348720,-,3526167,3587026,-,3735009,3750279,-,3825493,3445208,-,3705298,3728139,-,3635851,3644333,-,3686114,3680261,-,3485530,3568572,-,3864450,3636694,-,3715990,3255615,-,2982367,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,844208,769713,-,699174,698137,-,673672,656277,-,599794,666354,-,448852,593417,-,505604,785616,-,590973,595933,-,479674,787484,-,608847,690006,-,703190,499945,-,629290,628904,-,692972,656497,-,498256,966645,-,1123933,1371478,-,948444,922216,-,810718,959133,-,784753,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6902097,6108817,-,6147683,6131190,-,6250044,5801194,-,6397833,6354411,-,6295353,5991132,-,6505208,18790411,-,6450282,6136068,-,6388737,7184637,-,6757814,6856059,-,6504497,6129267,-,6216550,7226797,-,6477221,6836732,-,6510919,7229797,-,7178449,7293401,-,7210040,7020154,-,6827788,6491823,-,6073363,-,-
25-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,166295,146194,-,144986,165213,-,194745,216423,-,141996,166402,-,166802,163353,-,159722,158084,-,162327,175637,-,213694,228214,-,199782,135327,-,140554,161191,-,140743,285739,-,154665,172288,-,132837,158733,-,141656,143921,-,76067,151379,-,97885,135493,-,89377,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4602053,4721068,-,4807188,4871619,-,4787943,4557476,-,4207833,4719052,-,4304162,4226187,-,4312120,4234855,-,4490056,4308611,-,4125262,4921733,-,4611201,4876685,-,4533720,4568301,-,4592014,4683683,-,4512328,4731640,-,4512162,4848820,-,4416833,4535141,-,4740712,4797790,-,4773411,4605697,-,4465906,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,527396,379817,-,429291,349536,-,364922,364305,-,302998,346375,-,207584,295347,-,294744,363875,-,297729,335628,-,320472,406739,-,268817,397799,-,377950,290105,-,395188,361546,-,329779,350974,-,255302,523963,-,596315,641976,-,443262,412095,-,427847,475899,-,377833,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5295744,5247079,-,5381465,5386368,-,5347610,5138204,-,4652827,5231829,-,4678548,4684887,-,4766586,18999438,-,4950112,4819876,-,4659428,5556686,-,5079800,5409811,-,5052224,5019597,-,5127945,5330968,-,4996772,5254902,-,4900301,5531516,-,5154804,5321038,-,5260041,5361264,-,5299143,5217089,-,4933116,-,-
30-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34342,14196,-,7391,15504,-,17035,19385,-,27643,15983,-,5291,14947,-,17601,13070,-,12179,8274,-,36846,21500,-,9808,24714,-,16612,14935,-,14128,98046,-,21007,15949,-,6715,20084,-,19835,17747,-,2896,9863,-,22481,14349,-,11467,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4388052,4558880,-,4348121,4608762,-,4340229,4583000,-,3985565,4703656,-,4127864,4769723,-,4237794,5148080,-,4242058,5138137,-,4272260,4892695,-,4603875,4819099,-,4324365,4828296,-,4195329,4641134,-,4304920,4722834,-,4454536,4733882,-,4558234,4439403,-,4790163,4684223,-,4676747,4644405,-,4654382,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,346834,236265,-,243711,235214,-,219470,235447,-,202100,233155,-,151930,181300,-,174369,273733,-,193022,268139,-,246049,280575,-,229096,266508,-,333427,230162,-,376914,257104,-,210705,239202,-,202629,321464,-,414908,414033,-,344955,243488,-,248895,274949,-,292508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4769228,4809341,-,4599223,4859480,-,4576734,4837832,-,4215308,4952794,-,4285085,4965970,-,4429764,22106617,-,4447259,5414550,-,4555155,5194770,-,4842779,5110321,-,4674404,5073393,-,4586371,4996284,-,4536632,4977985,-,4663880,5075430,-,4992977,4871183,-,5138014,4937574,-,4948123,4933703,-,4958357,-,-
35-39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22645,3844,-,1754,1066,-,8037,3791,-,5142,2620,-,2503,1869,-,1984,2117,-,3339,1438,-,10528,4880,-,13550,4259,-,4276,8585,-,7161,49403,-,6173,3092,-,3983,5916,-,7586,3204,-,3143,5015,-,1582,5493,-,1418,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3428898,3761026,-,3706772,3827665,-,3558224,3837660,-,3381471,4047890,-,3444726,3734644,-,3596380,3973910,-,3648191,3986367,-,3634637,4442971,-,3860887,4269609,-,3825822,4705359,-,3549641,4126321,-,3668478,4256671,-,3838302,4283357,-,3989132,3991683,-,4125810,4205305,-,4024563,4200539,-,3976026,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,285241,167376,-,178850,148806,-,180998,158688,-,132500,168823,-,122556,146829,-,150170,183162,-,164035,167554,-,164110,215350,-,168776,324418,-,208088,224745,-,279361,229856,-,170732,200600,-,166865,263119,-,340196,322847,-,270980,167407,-,195330,189353,-,179179,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3736784,3932246,-,3887376,3977537,-,3747259,4000139,-,3519113,4219333,-,3569785,3883342,-,3748534,18277713,-,3815565,4155359,-,3809275,4663201,-,4043213,4598286,-,4038186,4938689,-,3836163,4405580,-,3845383,4460363,-,4009150,4552392,-,4336914,4317734,-,4399933,4377727,-,4221475,4395385,-,4156623,-,-
40-44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37047,1538,-,527,1616,-,1611,1748,-,1582,532,-,0,839,-,1548,3320,-,0,0,-,6634,1104,-,0,716,-,5585,1579,-,1613,43572,-,732,1029,-,1908,2925,-,2935,3246,-,104,5065,-,2750,5748,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2811598,3010462,-,2955404,3058199,-,2902550,3143759,-,2589379,3281065,-,2768953,3287685,-,2911847,3567908,-,2997900,3580667,-,2937747,3640432,-,3328474,3620911,-,3133634,3463102,-,2953364,3479771,-,3206856,3600733,-,3330317,3592492,-,3242482,3339294,-,3502384,3549795,-,3528183,3652632,-,3615213,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,296979,161413,-,192161,156372,-,184483,166047,-,167671,159668,-,123920,140015,-,119328,183255,-,130171,184685,-,156971,184114,-,164898,297279,-,212353,171791,-,228809,195839,-,161446,174205,-,151793,228912,-,341464,274521,-,202168,172144,-,195785,176745,-,154734,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3145624,3173413,-,3148092,3216187,-,3088644,3311554,-,2758632,3441265,-,2892873,3428539,-,3032723,18851867,-,3128071,3765352,-,3101352,3825650,-,3493372,3918906,-,3351572,3636472,-,3183786,3719182,-,3369034,3775967,-,3484018,3824329,-,3586881,3617061,-,3704656,3727004,-,3726718,3835125,-,3769947,-,-
45-49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16765,317,-,1619,325,-,579,524,-,0,505,-,0,1344,-,2331,59,-,5432,81,-,1277,284,-,1970,0,-,0,581,-,0,48369,-,0,1008,-,2310,1481,-,1406,2432,-,353,1092,-,1053,2926,-,412,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2410130,2456422,-,2415811,2502044,-,2267077,2585637,-,2179547,2762694,-,2444074,2601414,-,2524772,2730667,-,2561711,2792506,-,2595022,3237017,-,2763389,3346198,-,2789018,3208714,-,2675171,3059736,-,2791473,3211126,-,2954327,3252617,-,3059904,3022506,-,3108769,3186114,-,3111212,3246114,-,3193414,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,312160,171673,-,182220,177852,-,176368,161721,-,167212,181850,-,119793,134255,-,119140,171952,-,134253,181866,-,143609,184965,-,162305,318541,-,250249,211992,-,328054,210249,-,197439,203486,-,173740,248850,-,331204,303617,-,245673,187324,-,241143,214978,-,211826,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2739055,2628412,-,2599650,2680221,-,2444024,2747882,-,2346759,2945049,-,2563867,2737013,-,2646243,15115066,-,2701396,2974453,-,2739908,3422266,-,2927664,3664739,-,3039267,3421287,-,3003225,3318354,-,2988912,3415620,-,3130377,3502948,-,3392514,3328555,-,3354795,3374530,-,3353408,3464018,-,3405652,-,-
50-54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4811,0,-,0,0,-,0,0,-,0,134,-,0,0,-,0,0,-,1576,0,-,0,74,-,0,0,-,0,0,-,1700,42240,-,397,98,-,2538,1243,-,0,1434,-,0,899,-,246,863,-,337,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2115147,2129429,-,2051597,2102140,-,1957021,2285197,-,1918455,2492408,-,2186625,2326505,-,2140306,2490753,-,2205365,2530236,-,2181393,2816477,-,2454278,2857657,-,2468101,2887526,-,2433704,2866210,-,2641025,2960548,-,2672446,2899496,-,2771632,2945940,-,2781081,2858433,-,2825611,2990832,-,2994904,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,418651,278794,-,276823,285189,-,316499,302074,-,241004,315915,-,268477,238369,-,235659,262490,-,233430,300599,-,259002,340934,-,276635,405107,-,359551,292760,-,453361,343115,-,274063,309247,-,250203,360939,-,447894,404855,-,335632,308242,-,376457,299357,-,311469,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2538609,2408223,-,2328420,2387329,-,2273520,2587271,-,2159459,2808457,-,2455102,2564874,-,2375965,13269923,-,2440371,2830835,-,2440395,3157485,-,2730913,3262764,-,2827652,3180286,-,2888765,3251565,-,2915485,3269893,-,2925187,3261678,-,3219526,3352229,-,3116713,3167574,-,3202314,3291052,-,3306710,-,-
