38 Provinsi,"Persentase Usia Muda (15-24 Tahun) Yang Sedang Tidak Sekolah, Bekerja Atau Mengikuti Pelatihan (Persen)",,,,,,,,
,2015,2016,2017,2018,2019,2020,2021,2022,2023
ACEH,25.65,23.35,22.41,22.77,23.61,23.6,24.38,28.99,29.02
SUMATERA UTARA,22.01,21.87,18.88,18.46,18.71,22.87,20.29,20.71,20.08
SUMATERA BARAT,21.58,19.7,18.27,20.5,19.93,20.46,18.78,20.23,23
RIAU,25.33,23.33,21.41,23.79,22.66,23.62,21.11,24.33,23.26
JAMBI,24.11,20.11,20.95,20.78,22.81,22.66,21.76,23.86,22.26
SUMATERA SELATAN,25.78,23.43,22.35,23.35,22.78,25.55,25.38,25.32,23.37
BENGKULU,19.7,19.91,19.85,20.77,20.51,20.63,22.75,22.49,21.77
LAMPUNG,28.26,25.4,23.91,23.42,22.84,23.35,22.09,22.63,22.32
KEP. BANGKA BELITUNG,27.51,24.73,21.15,21.56,22.65,27.34,24.38,21.87,21.3
KEP. RIAU,14.88,15.12,13.55,19.74,16.55,20.71,16.42,18.74,15.04
DKI JAKARTA,15.91,14.09,13.49,16.98,15.41,20.13,20.47,17.19,15.49
JAWA BARAT,30.44,27.8,25.33,26.22,25.52,29.33,26.44,27.85,25.71
JAWA TENGAH,25.39,23.52,21,21.23,21.8,24.01,20.32,20.44,20.99
DI YOGYAKARTA,13.64,14.24,11.13,12.52,9.78,12.71,9.89,10.7,10.89
JAWA TIMUR,23.9,23.02,21.09,21.11,21.14,22.41,20.77,22.07,19.53
BANTEN,29.45,27.73,25.84,24.65,23.11,27.5,26.52,27.29,28.8
BALI,12.25,13.56,9.31,8.59,9.4,14.9,14.52,11.32,10.03
NUSA TENGGARA BARAT,25.55,19.53,21.6,24.95,21.98,22.24,20.78,23.3,20.45
NUSA TENGGARA TIMUR,17.22,17.44,16.24,18.46,19.25,19.17,18.97,18.84,18.13
KALIMANTAN BARAT,21.98,22.87,20.98,24.5,23.2,25.43,24.74,24.35,23.55
KALIMANTAN TENGAH,22.28,22.5,21.1,22.76,22.31,24.69,23.92,26.54,23.68
KALIMANTAN SELATAN,24.03,23.82,21.51,23.06,22.18,21.16,20.54,23.57,21.17
KALIMANTAN TIMUR,22.25,27.04,20.47,23.24,19.65,24.25,21.56,20.08,18.66
KALIMANTAN UTARA,19.24,18.45,16.35,17.37,21.42,22.59,19.8,20.3,18.16
SULAWESI UTARA,27.21,27.27,29.78,29.73,28.1,29.94,29.43,33.54,30.73
SULAWESI TENGAH,26.64,18.99,21.04,21.14,21.85,22.23,22.31,23.99,22.39
SULAWESI SELATAN,24.1,22.21,21.83,23.07,21.91,25.48,23.78,22.61,22.24
SULAWESI TENGGARA,23.52,16.64,20,20.45,21.32,23,19.87,21.61,21.97
GORONTALO,27.16,22.69,25.76,26.37,26.41,27.35,25.79,28.03,24.87
SULAWESI BARAT,18.92,26.76,22.71,24.12,23.07,24.15,22.85,22.51,21.81
MALUKU,25.23,24.26,24.44,25.18,26.59,27.46,28.64,30.89,35.38
MALUKU UTARA,25.22,24.26,24.44,23.04,24.94,26.37,27.59,29.52,29.71
PAPUA BARAT,20.37,23.64,18.3,18.61,20.77,24.01,21.97,26.29,27.98
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,15.42,16.53,16.35,16.74,17.57,20.92,18.51,20.07,25.06
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,24.77,23.19,21.41,22.15,21.77,24.28,22.4,23.22,22.25
,,,,,,,,,
Catatan,"<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Sumber: Sakernas, BPS",<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />,,,,,,,
