Kepolisian Daerah,Jumlah Tindak Pidana Menurut Kepolisian Daerah,,,,,,
,2016,2017,2018,2019,2020,2021,2022
ACEH,9646,8885,8758,7483,7745,6651,10137
SUMATERA UTARA,37102,39867,32922,30831,32990,36534,43555
SUMATERA BARAT,14921,13205,12953,11064,7992,5666,7691
RIAU,8520,6869,7246,6570,8194,7512,12389
JAMBI,9424,9531,6313,6848,4709,3701,5359
SUMATERA SELATAN,20368,15728,13558,12861,12189,13037,11453
BENGKULU,5904,4867,3389,3453,3333,3493,3613
LAMPUNG,10485,11089,8963,8534,7594,9764,11022
KEP. BANGKA BELITUNG,2094,1931,2048,1953,1931,1566,2072
KEP. RIAU,4885,3673,3409,3159,2843,2481,3358
METRO JAYA,43842,34767,34655,31934,26585,29103,32534
JAWA BARAT,29351,25183,16209,13145,11256,7502,29485
JAWA TENGAH,14353,12033,9127,10317,10712,8909,30060
DI YOGYAKARTA,8348,7251,6731,6650,7721,4774,10591
JAWA TIMUR,28902,34598,26295,26985,17642,19257,51905
BANTEN,4570,3692,3623,3287,4250,3434,5038
BALI,4764,3589,3212,3047,2597,2404,6304
NUSA TENGGARA BARAT,7779,8132,6451,8185,8591,6296,5296
NUSA TENGGARA TIMUR,7813,6729,6257,5865,4790,4909,5991
KALIMANTAN BARAT,7311,6020,5814,4721,3858,4048,3975
KALIMANTAN TENGAH,3712,2699,2667,2444,2629,2399,3189
KALIMANTAN SELATAN,7211,6578,5699,5375,5206,4973,5016
KALIMANTAN TIMUR,8896,9149,6287,4417,3609,4564,4221
KALIMANTAN UTARA,-,-,396,876,1015,971,1280
SULAWESI UTARA,9923,7981,10247,7425,6274,6215,9618
SULAWESI TENGAH,9602,10240,9379,6265,5454,5139,5453
SULAWESI SELATAN,15071,21616,21498,16008,12815,14636,28679
SULAWESI TENGGARA,3756,2866,1263,1213,2148,2431,3828
GORONTALO,3763,3099,2836,2367,2518,2445,2488
SULAWESI BARAT,-,1841,1817,1863,1704,1500,2027
MALUKU,2559,3086,2751,3495,5350,3139,2383
MALUKU UTARA,1096,789,722,718,850,1008,1220
PAPUA BARAT,8103,2284,3475,2972,3162,2784,4083
PAPUA,3123,6785,7311,6994,6962,6236,7584
INDONESIA,357197,336652,294281,269324,247218,239481,372897
,,,,,,,
Catatan,"Sumber: Biro Pengendalian operasi, Markas Besar Kepolisian Negara Republik Indonesia <br />						",Catatan: <br />						,"1. Polda Kepulauan Riau tahun 2000-2004 merupakan bagian dari Polda Riau, Polda Kep. Bangka Belitung tahun 2000-2004 merupakan bagian dari Polda Sumatera Selatan, Polda Banten tahun 2000-2003 merupakan bagian dari Polda Jawa Barat, Polda Gorontalo tahun 2000-2003 merupakan bagian dari Polda Sulut, Polda Maluku Utara tahun 2000-2004 merupakan bagian dari Polda Maluku <br />						","2. Polda Metro Jaya meliputi Polres Jakarta Selatan, Jakarta Timur, Jakarta Pusat, Jakarta Utara, Jakarta Barat, Kepulauan Seribu, Kabupaten Bekasi, Kota Bekasi,Kabupaten Tangerang, Kota Tangerang, Kota Depok, Bandara Soekarno-Hatta, dan Kesatuan Pelaksanaan Pengamanan Pelabuhan (KP3) Tanjung Priok 	<br />					","3. Polda Kalimantan Utara baru terbentuk pada tahun 2018. Pada tahun 2000-2017, Polda Kalimantan Utara merupakan bagian dari Polda Kalimantan Timur<br />",,
