Kepolisian Daerah,Risiko Penduduk Terkena Tindak Pidana (Per 100.000 Penduduk),,,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ACEH,108,84,19,66,45,53,22,69,33,141,225,222,224,181,158,164,193,171,169,144,149,125,190
SUMATERA UTARA,144,137,134,154,183,220,225,232,209,212,251,285,252,308,268,256,266,280,231,216,231,250,292
SUMATERA BARAT,104,112,111,132,122,163,214,204,231,253,239,258,297,289,298,317,287,248,243,208,150,103,138
RIAU,100,115,120,146,149,193,136,212,167,187,158,130,195,159,157,155,134,103,109,99,123,110,191
JAMBI,66,58,60,68,75,84,74,91,99,89,123,153,209,201,230,316,277,271,180,195,134,104,149
SUMATERA SELATAN,142,131,136,95,107,125,123,147,160,203,250,265,294,297,290,259,253,190,164,156,147,153,134
BENGKULU,61,43,75,73,68,69,105,123,123,112,152,196,221,258,215,242,315,252,175,179,172,177,179
LAMPUNG,77,73,46,51,63,58,84,91,94,127,61,77,56,62,99,115,129,134,108,103,92,115,121
KEP. BANGKA BELITUNG,-,-,-,-,-,114,180,224,196,243,253,262,497,194,134,140,153,135,143,136,133,108,141
KEP. RIAU,-,-,-,-,-,159,287,270,340,279,396,348,347,232,240,255,248,176,164,152,127,111,159
METRO JAYA,111,199,196,228,321,347,346,361,347,323,297,260,256,213,186,181,174,138,137,127,105,277,307
JAWA BARAT,37,53,54,48,55,62,62,62,65,75,46,80,74,66,71,73,76,65,42,34,29,15,60
JAWA TENGAH,38,32,32,36,38,37,56,59,60,59,148,47,34,46,49,48,42,35,27,30,31,26,82
DI YOGYAKARTA,60,98,98,65,75,108,87,129,154,208,512,184,261,191,201,266,227,193,179,177,200,123,285
JAWA TIMUR,73,67,73,74,72,86,113,116,107,98,47,78,63,45,37,92,74,88,67,69,44,48,127
BANTEN,-,-,-,-,19,45,18,19,13,26,77,64,76,87,115,101,92,55,54,49,63,27,42
BALI,219,193,153,139,174,188,213,217,203,225,156,153,144,148,123,123,115,85,76,72,60,55,144
NUSA TENGGARA BARAT,78,87,82,84,89,113,152,164,165,201,232,204,223,195,156,126,161,164,130,165,167,122,98
NUSA TENGGARA TIMUR,73,87,86,104,93,136,118,159,157,149,81,120,145,141,131,133,153,127,118,111,88,90,111
KALIMANTAN BARAT,51,60,54,49,109,136,212,257,268,259,180,216,216,212,179,141,153,122,118,96,76,80,73
KALIMANTAN TENGAH,118,115,72,118,-,157,163,221,215,209,112,233,132,131,124,110,149,104,102,94,62,91,118
KALIMANTAN SELATAN,104,123,112,111,119,87,104,93,161,121,55,14,96,188,156,174,181,160,138,130,196,118,122
KALIMANTAN TIMUR,129,120,117,157,160,202,265,323,231,248,314,296,302,285,230,221,219,214,176,124,100,126,111
KALIMANTAN UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,127,146,140,179
SULAWESI UTARA,359,378,438,407,410,489,443,463,454,557,382,496,299,224,263,328,411,324,416,302,252,249,364
SULAWESI TENGAH,180,218,163,178,149,226,219,272,254,303,493,265,308,286,281,317,334,345,316,211,179,169,270
SULAWESI SELATAN,100,97,86,94,127,159,173,190,196,203,177,252,204,182,157,166,154,256,255,190,145,166,314
SULAWESI TENGGARA,134,93,80,72,108,36,51,304,210,209,262,265,303,304,224,149,150,110,49,47,81,91,144
GORONTALO,-,-,-,-,256,304,297,481,402,420,340,287,271,344,305,302,332,265,243,203,214,208,211
SULAWESI BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146,144,148,125,110,141
MALUKU,15,5,24,81,83,65,82,136,185,202,292,110,126,135,144,111,152,177,158,200,303,177,128
MALUKU UTARA,-,-,-,-,-,48,99,103,77,121,198,91,96,108,101,71,94,65,60,59,69,82,94
PAPUA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,160,257,146,380,325,328,289,353
PAPUA,129,119,168,170,219,249,226,191,227,242,181,250,263,219,214,233,358,208,224,214,208,186,174
INDONESIA,84,89,88,93,104,121,131,145,141,141,142,149,146,140,131,140,140,129,113,103,94,90,137
,,,,,,,,,,,,,,,,,,,,,,,
Catatan,"1. Polda Kepulauan Riau tahun 2000-2004 merupakan bagian dari Polda Riau, Polda Kep. Bangka Belitung tahun 2000-2004 merupakan bagian dari Polda Sumatera Selatan, Polda Banten tahun 2000-2003 merupakan bagian dari Polda Jawa Barat, Polda Gorontalo tahun 2000-2003 merupakan bagian dari Polda Sulut, Polda Maluku Utara tahun 2000-2004 merupakan bagian dari Polda Maluku, dan Polda Papua Barat tahun 2000-2014 merupakan bagian dari Polda Papua, Polda Sulawesi Barat tahun 2000-2016 merupakan bagian dari Polda Sulawesi Selatan<br />","2. Polda Metro Jaya meliputi Polres Jakarta Selatan, Jakarta Timur, Jakarta Pusat, Jakarta Utara, Jakarta Barat, Kepulauan Seribu, Kabupaten Bekasi, Kota Bekasi,Kabupaten Tangerang, Kota Tangerang, Kota Depok, Bandara Soekarno-Hatta, dan Kesatuan Pelaksanaan Pengamanan Pelabuhan (KP3) Tanjung Priok<br />","3. Polda Kalimantan Utara baru terbentuk pada tahun 2018. Pada tahun 2000-2017, Polda Kalimantan Utara merupakan bagian dari Polda Kalimantan Timur<br /><br />","Sumber: Biro Pengendalian operasi, Markas Besar Kepolisian Negara Republik Indonesia<br />",,,,,,,,,,,,,,,,,,,
